,epochs,loss,acc
0,0,0.6462557240162489,0.8297790097398469
1,1,0.3883435259249853,0.8934770999160796
2,2,0.3485893984687143,0.902484551026117
3,3,0.3321137879371952,0.9068941840653053
4,4,0.3173081217034493,0.9098898863260687
5,5,0.3087699685844115,0.9131704091752918
6,6,0.30940520624422657,0.913490832337309
7,7,0.31362125787092615,0.9117513923149302
8,8,0.3087054817633308,0.9146402868550212
9,9,0.31376914649120885,0.9110240825979706
10,10,0.304589042642728,0.913490832337309
11,11,0.2868221976596457,0.9173664267731353
12,12,0.2866168274722723,0.9185006230450372
13,13,0.28110838530903653,0.9193754291381634
14,14,0.2835078155284101,0.9192940518271749
